"StationCode","Regions","Year","Survey","SampDate","Species","VolumeOfAllTows","Catch","CPUE"
"513","Sacramento",2015,2,2015-06-16,"Centrarchids  ()",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Delta Smelt",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Gobies",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Gobies  ()",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Herring  ()",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Jellyfish",2662,6,0.00225394440270473
"513","Sacramento",2015,2,2015-06-16,"Largemouth Bass",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Longfin Smelt",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Mississippi Silverside",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Northern Anchovy",2662,5,0.00187828700225394
"513","Sacramento",2015,2,2015-06-16,"Other",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Pacific Herring",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Rainwater Killifish",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Shrimp",2662,14,0.00525920360631104
"513","Sacramento",2015,2,2015-06-16,"Shrimp  ()",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Splittail",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Starry Flounder",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Threadfin Shad",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Three Spine Stickleback",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Trid_SB0  ()",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Unknown Damaged  ()",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Unknown Fish  ()",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Unknown Invertebrate  ()",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Wakasagi",2662,0,0
"513","Sacramento",2015,3,2015-06-29,"American Shad",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Bigscale Logperch",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Bluegill",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Catfish",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Catfish  ()",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Centrarchids  ()",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Delta Smelt",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Gobies",2669,2,0.000749344323716748
"513","Sacramento",2015,3,2015-06-29,"Gobies  ()",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Herring  ()",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Jellyfish",2669,40,0.014986886474335
"513","Sacramento",2015,3,2015-06-29,"Largemouth Bass",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Longfin Smelt",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Mississippi Silverside",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Northern Anchovy",2669,1,0.000374672161858374
"513","Sacramento",2015,3,2015-06-29,"Other",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Pacific Herring",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Rainwater Killifish",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Shrimp",2669,1,0.000374672161858374
"513","Sacramento",2015,3,2015-06-29,"Shrimp  ()",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Splittail",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Starry Flounder",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Threadfin Shad",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Three Spine Stickleback",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Trid_SB0  ()",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Unknown Damaged  ()",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Unknown Fish  ()",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Unknown Invertebrate  ()",2669,0,0
"513","Sacramento",2015,3,2015-06-29,"Wakasagi",2669,0,0
"513","Sacramento",2015,4,2015-07-13,"American Shad",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Bigscale Logperch",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Bluegill",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Catfish",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Catfish  ()",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Centrarchids  ()",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Delta Smelt",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Gobies",2845,12,0.00421792618629174
"513","Sacramento",2015,4,2015-07-13,"Gobies  ()",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Herring  ()",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Jellyfish",2845,116,0.0407732864674868
"513","Sacramento",2015,4,2015-07-13,"Largemouth Bass",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Longfin Smelt",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Mississippi Silverside",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Northern Anchovy",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Other",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Pacific Herring",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Rainwater Killifish",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Shrimp",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Shrimp  ()",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Splittail",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Starry Flounder",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Threadfin Shad",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Three Spine Stickleback",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Trid_SB0  ()",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Unknown Damaged  ()",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Unknown Fish  ()",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Unknown Invertebrate  ()",2845,0,0
"513","Sacramento",2015,4,2015-07-13,"Wakasagi",2845,0,0
"513","Sacramento",2015,5,2015-07-27,"American Shad",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Bigscale Logperch",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Bluegill",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Catfish",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Catfish  ()",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Centrarchids  ()",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Delta Smelt",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Gobies",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Gobies  ()",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Herring  ()",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Jellyfish",1888,128,0.0677966101694915
"513","Sacramento",2015,5,2015-07-27,"Largemouth Bass",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Longfin Smelt",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Mississippi Silverside",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Northern Anchovy",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Other",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Pacific Herring",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Rainwater Killifish",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Shrimp",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Shrimp  ()",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Splittail",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Starry Flounder",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Threadfin Shad",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Three Spine Stickleback",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Trid_SB0  ()",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Unknown Damaged  ()",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Unknown Fish  ()",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Unknown Invertebrate  ()",1888,0,0
"513","Sacramento",2015,5,2015-07-27,"Wakasagi",1888,0,0
"513","Sacramento",2015,6,2015-08-10,"American Shad",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Bigscale Logperch",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Bluegill",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Catfish",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Catfish  ()",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Centrarchids  ()",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Delta Smelt",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Gobies",2813,5,0.00177746178457163
"513","Sacramento",2015,6,2015-08-10,"Gobies  ()",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Herring  ()",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Jellyfish",2813,260,0.0924280127977248
"513","Sacramento",2015,6,2015-08-10,"Largemouth Bass",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Longfin Smelt",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Mississippi Silverside",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Northern Anchovy",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Other",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Pacific Herring",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Rainwater Killifish",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Shrimp",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Shrimp  ()",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Splittail",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Starry Flounder",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Threadfin Shad",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Three Spine Stickleback",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Trid_SB0  ()",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Unknown Damaged  ()",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Unknown Fish  ()",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Unknown Invertebrate  ()",2813,0,0
"513","Sacramento",2015,6,2015-08-10,"Wakasagi",2813,0,0
"513","Sacramento",2016,1,2016-06-15,"American Shad",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Bigscale Logperch",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Bluegill",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Catfish",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Catfish  ()",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Centrarchids  ()",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Delta Smelt",2971,1,0.000336587007741501
"513","Sacramento",2016,1,2016-06-15,"Gobies",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Gobies  ()",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Herring  ()",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Jellyfish",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Largemouth Bass",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Longfin Smelt",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Mississippi Silverside",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Northern Anchovy",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Other",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Pacific Herring",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Rainwater Killifish",2971,0,0
"513","Sacramento",2016,1,2016-06-15,"Shrimp",2971,5,0.00168293503870751
