Station,StationCode,Date,Time,Month,Year,Chla,Pheophytin,TotAlkalinity,DissAmmonia,DissBromide,DissCalcium,DissChloride,DissNitrateNitrite,DOC,TOC,DON,DissOrthophos,TotPhos,DissSilica,TDS,TSS,VSS,TKN,Program,SpecificConductance,pH,Temperature,DO,Turbidity,DissTKN
D26 - San Joaquin River @ Potato Point,D26,3/12/2015 0:00,15,3,2015,3.4,0.51,NA,0.15,NA,19,30,0.58,4.3,4.3,0.6,0.07,0.08,19.8,182,14,2,0.9,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,4/10/2015 0:00,16,4,2015,34.5,2.88,NA,0.04,NA,19,45,0.28,3.8,4,0.4,0.04,0.09,10.7,200,12,3,0.7,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,5/12/2015 0:00,17,5,2015,2.92,1.42,NA,0.12,NA,19,105,0.31,3.7,4,0.4,0.07,0.12,8.9,315,14,3,0.6,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,6/9/2015 0:00,18,6,2015,2.65,1.45,NA,0.07,NA,17,135,0.48,2.9,3,0.3,0.08,0.12,13.9,357,13,2,0.5,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,7/9/2015 0:00,19,7,2015,5.09,1.48,NA,0.1,NA,14,93,0.36,2.6,2.7,0.3,0.08,0.11,13.9,262,11,2,0.5,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,8/25/2015 0:00,20,8,2015,3.36,1.31,NA,0.04,NA,14,108,0.3,2.4,2.6,0.3,0.06,0.1,12,302,10,2,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,9/21/2015 0:00,21,9,2015,2.46,1.09,NA,0.08,NA,14,79,0.3,2.2,2.3,0.2,0.06,0.09,15.4,243,8,1,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,10/20/2015 0:00,22,10,2015,2.93,1.26,NA,0.07,NA,15,105,0.37,2.3,2.3,0.1,0.08,0.09,13.1,295,7,1,0.2,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,11/3/2015 0:00,23,11,2015,4.34,0.88,NA,0.12,NA,15,79,0.5,2.5,2.9,0.3,0.09,0.09,13.7,246,6,1,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,12/3/2015 0:00,24,12,2015,19.22,1.4,NA,0.09,NA,15,101,0.58,2.8,3,0.3,0.04,0.1,11.1,289,10,2,0.6,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,1/6/2017 0:00,25,1,2017,0.99,1.32,NA,0.11,NA,13,12,0.33,3.4,3.5,0.2,0.05,0.06,20.5,99,20,2,0.5,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,2/7/2017 0:00,26,2,2017,1.52,0.88,NA,0.07,NA,11,9,0.42,3.4,3.4,0.2,0.05,0.08,15.4,81,22,3,0.3,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,3/7/2017 0:00,27,3,2017,1.53,0.69,NA,0.05,NA,13,18,0.56,3.8,3.8,0.3,0.09,0.09,12.7,109,6,2,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,4/4/2017 0:00,28,4,2017,1.52,0.8,NA,0.06,NA,10,10,0.22,2.5,2.5,0.2,0.07,0.06,12.9,81,7,NA,0.3,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,5/18/2017 0:00,29,5,2017,1.06,0.87,NA,0.05,NA,7,10,0.14,2.8,2.8,0.2,0.07,0.07,11.3,66,2,NA,0.3,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,6/16/2017 0:00,30,6,2017,1.06,0.57,NA,0.07,NA,8,7,0.18,2.3,2.4,NA,0.06,0.06,13.4,72,5,1,0.2,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,7/17/2017 0:00,31,7,2017,17.99,3.15,NA,0.07,NA,8,7,0.17,2.4,2.4,0.2,0.05,0.06,7.6,73,13,4,0.3,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,8/15/2017 0:00,32,8,2017,1.95,0.97,NA,0.1,NA,9,9,0.22,2,2,0.1,0.06,0.07,13.1,82,4,1,0.3,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,9/13/2017 0:00,33,9,2017,1.64,1.16,NA,0.1,NA,11,8,0.25,2,2,0.1,0.06,0.06,16,89,8,2,0.2,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,10/11/2017 0:00,34,10,2017,1.35,0.74,NA,0.07,NA,9,7,0.21,1.8,1.8,NA,0.05,0.05,14.8,76,7,1,0.2,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,11/14/2017 0:00,35,11,2017,0.69,NA,NA,0.13,NA,11,16,0.52,2.4,2.5,0.3,0.08,0.08,15.3,101,3,NA,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,12/12/2017 0:00,36,12,2017,NA,1.27,NA,0.13,NA,15,90,0.51,2.9,2.9,0.3,0.07,0.09,17.9,257,17,2,0.5,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,1/9/2018 0:00,37,1,2018,0.77,0.9,NA,0.15,NA,15,96,0.45,2.8,3,0.2,0.06,0.07,17.3,278,6,NA,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,2/7/2018 0:00,38,2,2018,1.11,0.67,NA,0.12,NA,15,25,0.61,4.2,4.2,0.4,0.07,0.07,19.3,144,6,1,0.5,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,3/13/2018 0:00,39,3,2018,4.17,1.26,NA,0.12,NA,16,26,0.57,3.9,3.9,0.4,0.06,0.08,15.4,151,7,2,0.5,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,4/10/2018 0:00,40,4,2018,1.23,0.94,NA,0.08,NA,9,9,0.22,3.3,3.3,0.2,0.05,0.06,13.5,79,11,2,0.5,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,5/9/2018 0:00,41,5,2018,1.83,0.88,NA,0.06,NA,13,26,0.31,3.5,3.6,0.2,0.08,0.08,11.6,129,3,NA,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,6/7/2018 0:00,42,6,2018,2.9,0.93,NA,0.05,NA,10,15,0.28,2.5,2.5,0.2,0.07,0.07,12.5,101,3,1,0.3,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,7/9/2018 0:00,43,7,2018,3.51,0.95,NA,0.06,NA,10,12,0.29,2.2,2.2,0.1,0.06,0.06,13.4,86,4,1,0.3,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,8/6/2018 0:00,44,8,2018,13.8,2.99,NA,0.06,NA,10.9,19.5,0.152,2.1,2.1,0.13,0.055,0.06,13.5,107,7,2,0.3,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,9/17/2018 0:00,45,9,2018,1.58,1.01,NA,0.1,NA,15,58,0.224,2.2,2.2,0.1,0.077,0.08,18,202,7,1,0.3,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,10/16/2018 0:00,46,10,2018,1.48,0.75,NA,0.1,NA,12.9,61,0.33,1.9,2,0.1,0.076,0.08,17.5,199,4,1,0.248,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,11/27/2018 0:00,47,11,2018,0.86,0.61,NA,0.17,NA,13.5,54,0.531,2.8,2.8,0.15,0.079,0.085,15.9,206,4,NA,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,12/13/2018 0:00,48,12,2018,0.65,0.56,NA,0.138,NA,17.6,107,0.61,3.5,3.5,0.26,0.08,0.091,18.4,314,5,1,0.48,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,1/15/2019 0:00,49,1,2019,0.87,1.23,NA,0.16,NA,16,60,0.67,4.7,4.6,0.3,0.075,0.09,20.7,214,12,2,0.6,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,2/15/2019 0:00,50,2,2019,0.97,0.58,NA,0.12,NA,13,12.1,0.57,4.6,4.6,0.3,0.069,0.09,16.8,104,16,3,0.5,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,3/14/2019 0:00,51,3,2019,0.73,0.57,NA,0.06,NA,11,11,0.377,3.4,3.4,0.3,0.072,0.07,14.6,111,10,2,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,4/12/2019 0:00,52,4,2019,1.27,0.63,NA,0.05,NA,10.1,11.1,0.18,2.3,2.3,0.1,NA,0.047,14.8,91,5,NA,0.2,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,5/13/2019 0:00,53,5,2019,1.13,0.76,NA,0.06,NA,9,13.1,0.152,2.1,2.2,0.12,0.05,0.05,12.1,82,4,1,0.19,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,6/10/2019 0:00,54,6,2019,NA,NA,NA,NA,NA,7,5,0.14,2.1,2.2,0.2,0.05,0.05,12.9,59,4,NA,0.2,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,7/10/2019 0:00,55,7,2019,1.4,0.91,NA,0.076,NA,8.51,5.98,0.205,1.8,1.8,NA,0.052,0.053,13.4,68,5,1,0.213,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,8/7/2019 0:00,56,8,2019,0.99,0.76,NA,0.083,NA,10.3,12.3,0.211,1.8,1.8,NA,0.061,0.067,15.5,88,4,1,0.251,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,9/5/2019 0:00,57,9,2019,NA,NA,55,0.068,0.02,10.5,7.4,0.199,1.7,1.7,0.12,0.057,0.054,15.3,87,5,2,0.265,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,10/4/2019 0:00,58,10,2019,1.01,0.64,50,NA,NA,9.9,5.7,NA,1.8,2,NA,NA,0.049,15,85,4,1.6,NA,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,11/5/2019 0:00,59,11,2019,1.24,0.58,49,NA,NA,10,14,0.35,2.1,2.1,NA,0.056,0.064,13,96,5.3,NA,0.24,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,12/4/2019 0:00,60,12,2019,0.82,2.3,56,0.24,NA,12,33,0.38,2.4,2.3,NA,0.067,0.042,15,150,7.6,NA,0.29,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,1/16/2020 0:00,61,1,2020,1.22,0.77,74,0.14,0.28,15,33,0.49,3.3,3.5,NA,0.06,0.077,19,170,8,NA,0.38,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,2/14/2020 0:00,62,2,2020,1.46,1.2,78,0.14,0.21,16,23,0.5,3.9,3.9,NA,0.067,0.091,19,170,10,NA,0.36,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,3/3/2020 0:00,63,3,2020,2.09,1.19,81,0.11,0.2,17,25,0.47,3.8,3.8,NA,0.055,0.11,17,140,3.1,NA,0.33,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,6/11/2020 0:00,64,6,2020,1.88,0.99,61,NA,0.05,12,19,0.29,2.5,2.4,0.2,0.077,0.08,12.7,120,3.9,NA,0.3,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,7/13/2020 0:00,65,7,2020,3.14,1.15,51,0.06,NA,10.9,12,0.21,1.7,1.7,0.1,0.057,0.06,14.6,90,3.5,NA,0.3,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,8/11/2020 0:00,66,8,2020,3.98,3.51,61,0.07,0.08,12,27,0.109,2,2,0.25,NA,0.063,12.9,129,8.3,NA,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,9/9/2020 0:00,67,9,2020,2.47,4.92,75,0.08,0.1608,14,53,0.214,2,1.9,0.3,0.067,0.07,15.4,203,6.2,2.5,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,10/8/2020 0:00,68,10,2020,1.15,4.22,65,NA,0.2,13.5,63.43,0.27,2,2.1,0.1,0.074,0.07,15.2,219,5.6,NA,0.2,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,11/6/2020 0:00,69,11,2020,1.58,1.6,62,NA,0.27,13.6,83,0.33,2.2,2.2,0.2,0.07,0.07,13.2,252,6.9,NA,0.2,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,4/5/2021 0:00,70,4,2021,3.43,1.67,80.2,0.05,0.097,18.4,32.86,0.5,3.9,3.9,0.36,0.077,0.077,16.3,179,6.8,2.5,0.434,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,5/5/2021 0:00,71,5,2021,2.11,1.17,82.6,0.05,0.1068,16.2,36.764,0.33,3,2.9,0.19,0.079,0.071,12.6,191,3.4,2.5,0.247,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,6/3/2021 0:00,72,6,2021,2.17,0.71,72.5,0.05,0.24,15.8,69.9,0.206,2.6,2.6,0.17,0.089,0.09,11.7,232,5.1,2.5,0.205,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,7/16/2021 0:00,73,7,2021,5.53,0.7,65,0.05,NA,15.1,123,0.095,2.4,2.3,0.25,0.076,0.079,13,309,8,2.5,0.278,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,8/16/2021 0:00,74,8,2021,13.9,2.81,64.8,0.05,NA,13.6,79.1,0.076,2.3,2.3,0.2,0.07,0.072,14.3,239,11.2,3.7,0.33,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,9/10/2021 0:00,75,9,2021,2.3,1.57,74,0.05,NA,15,117,0.094,2.2,2.1,0.24,0.071,0.062,13.7,318,10.8,2.5,0.252,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,10/13/2021 0:00,76,10,2021,1.67,1.55,73.4,0.05,NA,15.8,166,0.109,2.1,2,0.11,0.057,0.056,13.1,392,9.8,2.5,0.176,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,11/10/2021 0:00,77,11,2021,0.9,1.32,67.3,0.071,NA,15.2,72,0.49,4.3,4.2,0.39,0.074,0.094,17,249,14.4,2.8,0.449,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,1/8/2014 0:00,78,1,2014,2.26,1.09,NA,0.2,NA,22,355,0.62,4,4.4,0.3,0.07,0.1,19.8,796,10,2,0.6,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,2/7/2014 0:00,79,2,2014,3.37,2.86,NA,0.13,NA,24,306,0.72,3.6,3.7,0.3,0.06,0.1,19.4,716,15,2,0.7,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,3/6/2014 0:00,80,3,2014,1.64,0.46,NA,0.13,NA,19,88,0.88,5.9,6,0.6,0.08,0.13,20.2,305,5,1,0.9,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,4/7/2014 0:00,81,4,2014,2.35,0.51,NA,0.07,NA,17,48,0.91,5.2,5.2,0.4,0.07,0.1,18.5,214,4,1,0.7,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,5/7/2014 0:00,82,5,2014,1.69,0.75,NA,0.03,NA,17,75,0.44,4,4.1,0.3,0.06,0.11,14.6,252,12,2,0.5,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,6/4/2014 0:00,83,6,2014,1.34,0.86,NA,0.01,NA,19,225,0.48,3.3,3.3,0.3,0.08,0.09,11.8,566,4,1,0.4,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,7/2/2014 0:00,84,7,2014,3.14,0.44,NA,NA,NA,18,196,0.22,2.6,2.8,0.2,0.07,0.1,12,478,3,NA,0.3,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,8/14/2014 0:00,85,8,2014,3.07,0.63,NA,0.02,NA,16,181,0.2,2.2,2.3,0.2,0.06,0.1,13.2,450,4,2,0.3,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,9/15/2014 0:00,86,9,2014,5.24,1.18,NA,0.02,NA,17,245,0.23,2.3,2.3,NA,0.08,0.09,14.9,568,9,2,0.1,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,10/1/2014 0:00,87,10,2014,5.53,0.99,NA,0.02,NA,18,248,0.23,2.4,2.5,0.1,0.08,0.1,16.2,581,4,2,0.3,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,11/12/2014 0:00,88,11,2014,3.87,0.85,NA,0.06,NA,17,209,0.47,2.6,2.6,0.2,0.08,0.1,16.2,555,2,NA,0.3,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,12/15/2014 0:00,89,12,2014,1.04,1.84,NA,0.16,NA,19,243,0.73,4,4.2,0.3,0.06,0.09,20.3,568,21,2,0.6,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,1/14/2015 0:00,90,1,2015,0.6,0.98,NA,0.1,NA,19,37,0.65,5.4,5.5,0.4,0.06,0.12,22,210,13,NA,0.8,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,2/11/2015 0:00,91,2,2015,1.35,0.9,NA,0.16,NA,22,101,0.84,4.6,4.6,0.5,0.08,0.11,22.2,345,10,1,0.8,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,3/11/2015 0:00,92,3,2015,3.06,0.61,NA,0.06,NA,20,66,0.64,4.5,4.7,0.3,0.08,0.12,19.7,255,13,2,0.6,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,4/9/2015 0:00,93,4,2015,12.78,2.82,NA,0.03,NA,20,101,0.29,4.1,4.3,0.3,0.04,0.09,10.4,323,6,1,0.6,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,5/11/2015 0:00,94,5,2015,3.52,2.04,NA,0.07,NA,25,370,0.44,3.4,3.5,0.3,0.08,0.13,9.8,916,23,4,0.6,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,6/8/2015 0:00,95,6,2015,3.84,NA,NA,0.02,NA,19,166,0.37,3.1,3.7,0.3,0.06,0.1,12.8,427,5,2,0.5,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,7/8/2015 0:00,96,7,2015,6.07,0.76,NA,0.02,NA,18,198,0.27,3.2,3.2,0.3,0.08,0.1,13.2,484,14,2,0.4,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,8/19/2015 0:00,97,8,2015,2.15,0.83,NA,0.02,NA,15,184,0.19,2.7,2.8,0.3,0.07,0.09,10.8,451,4,NA,0.4,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,9/17/2015 0:00,98,9,2015,2.37,0.7,NA,0.02,NA,17,220,0.18,2.7,2.8,0.2,0.07,0.11,12.7,533,4,2,0.4,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,10/19/2015 0:00,99,10,2015,2.33,0.54,NA,0.03,NA,18,272,0.33,2.2,2.3,0.2,0.08,0.09,14.1,614,4,1,0.4,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,11/2/2015 0:00,100,11,2015,2.74,0.5,NA,0.04,NA,18,266,0.43,2.7,2.7,0.2,0.08,0.08,13.3,625,7,2,0.3,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,12/2/2015 0:00,101,12,2015,12.3,1.36,NA,0.06,NA,20,369,0.58,2.5,3,0.3,0.04,0.1,10.7,816,13,3,0.5,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,1/5/2017 0:00,102,1,2017,2.02,5.01,NA,0.09,NA,12,22,0.33,3.4,3.7,0.3,0.04,0.07,19.6,123,48,4,0.4,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,2/6/2017 0:00,103,2,2017,1.39,0.78,NA,0.08,NA,13,13,0.59,3.8,4,0.2,0.07,0.08,16.2,101,13,2,0.4,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,3/6/2017 0:00,104,3,2017,1.13,0.69,NA,0.06,NA,13,16,0.58,3.8,3.8,0.3,0.08,0.1,14.5,111,10,1,0.4,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,4/3/2017 0:00,105,4,2017,1.28,0.63,NA,0.04,NA,10,15,0.29,2.9,3.4,0.2,0.08,0.08,11.4,101,5,NA,0.3,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,5/17/2017 0:00,106,5,2017,1.49,1.07,NA,0.03,NA,8,8,0.1,2.9,2.9,0.2,0.06,0.06,11.1,65,2,NA,0.3,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,6/15/2017 0:00,107,6,2017,1.39,0.6,NA,0.03,NA,8,8,0.15,2.3,2.3,0.1,0.05,0.05,12.8,73,5,2,0.2,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,7/14/2017 0:00,108,7,2017,18.5,2.72,NA,NA,NA,7,7,0.05,2.6,2.7,0.1,0.05,0.07,3.1,68,11,1,0.3,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,8/14/2017 0:00,109,8,2017,2.72,1.7,NA,0.03,NA,9,36,0.18,2.2,2.2,0.1,0.07,0.07,10.2,135,6,1,0.2,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,9/12/2017 0:00,110,9,2017,2.41,1.23,NA,0.04,NA,10,16,0.24,2,2,NA,0.07,0.08,15.5,98,4,1,0.1,EMP,NA,NA,NA,NA,NA,NA
D19 - Frank's Tract near Russo's Laing,D19,10/10/2017 0:00,111,10,2017,1.78,0.74,NA,0.03,NA,10,14,0.19,2,2,0.2,0.06,0.06,14.5,95,4,NA,0.2,EMP,NA,NA,NA,NA,NA,NA
